solana_address,evm_address,display_name,fomo_handle,twitter,telegram,followers,pnl_24h,wallet_type,tier
588deeKuwhHddybmi6H9c7R9SXFidMs43GpjpgKsPnXN,0xf6514b0a4afa4b659f4feb6b900a9b604363ccde,"Random Guy",randomxbt,randomxbt,,8452,12252.208347992892,market_maker,pro
F2R5xhv1fjUK7m1VirH7e6K5CQTaFFxYrxNmDyuM2kUu,0xe36e463e9a63a9e6f38147c3f81935be04429131,"Still in the Game",stigstigstig_,stigstigstig_,,9259,11454.370704513643,smart_money,pro
4a2vrEAYrzaywCLid92QTsYDFHTZp1H9Y8xvpvE3xUov,0xa12210be593bd5928dbf26987149c9f2590a5bed,"bizz",bizzxbt,bizzxbt,,1007,11404.090830145069,smart_money,pro
E6czeBZEvfiscJa6NgQpTxjKvsvvwK4zaPZ2G2nf7y76,0x52bfd45d37f45f73f0555be6ca9a645ba6b6deb3,"profit | eca.eth",FlippingProfits,FlippingProfits,,10384,11161.587194227108,kol,pro
EioSTsdo3YDfgAGHidgszdXNqLbg8rzZdbdXfcnwLBNL,0x9b852b9edb9dcfbc98a570c72339a0b1053ecf18,"BrazilZZ🇧🇷",xbrazilzz,xbrazilzz,,5670,10927.664993415758,market_maker,pro
3jw8TCHj4hvH47wK1X9M6TDrMwt47n7v9xPUdKM2EVME,0x5498f531876f73842e7847880918826953914454,"ZippySolarPuma",ZippySolarPuma,ZippySolarPuma,,651,10320.525657882517,smart_money,pro
C4eqjMqBP7oYQ7rPsEZDs23xP8VnKhYwXV4HrabpHbBR,0xa58dae86eef033c8efaa94b4ddfc1e4ee98e168f,"googoogaagaa",googoogaagaa,googoogaagaa,,29,10214.97805494652,smart_money,pro
Bs8s1QzhkxDdYD9exTCdMYSi776cGtqYZFLFb5A2cFtV,0xf0244ddb9c126ed836381c11d730257ba36929c9,"Dinh Hung",dinhhung493,dinhhung493,,508,10136.771552784627,smart_money,pro
4Y2MgwWzHzGVFeq52o6BP1nFXA8NQFxSW9q3peVyzTfh,0xdb32bd16e5b7405d43f68a0006b7d2242d278ded,"neetguy",neetguy,neetguy,,1587,10021.188480337267,smart_money,pro
Ge2bEzJ7z8CjoGuvWGzUZnTb1KAVPY4VoTKWa71FpNvH,0x10ed8770f5610679b2e2ec85fc54206ef715e010,"Yogurt.hl",yogurt_eth,yogurt_eth,,1284,9224.886043008599,smart_money,pro
8TDYEzuCmh13JjSZrfT3XWE3U3YfwPrtr9xC1WnT6tWP,0xc7dfa235fb48d370434bfab140a32b224246ba16,"🐈‍⬛",graycandol,graycandol,,10602,8630.829672590633,kol,pro
55hpyoNn4d3SRCLE1C3Cmh9GsfXa6b9gXKcprX3LVnui,0x675ddd094ad244d99647ab0215105a0c25779204,"rynzo",rynzoeth,rynzoeth,,4124,8530.200377205318,smart_money,pro
FCSabc74THQMjSviZ9LnpTKgoiNsSVUhFawUr3sED5Af,0xb5de449faeebd5519fd2b7af5612886d0301133e,"Pingu Charts",pingucharts,pingucharts,,12206,8062.120058625213,kol,pro
3FyBTtWvhzG5p1HuTDYUEFGu7eNCZAHvvRPweXWcZsiw,0xd66acda6255833ab877f1148368b81b7722ea440,"[PN] asta",astaso1,astaso1,,38863,8047.3136396668415,kol,pro
6NGPu8gCKN9L2TSEHTiMLa45DBKkWHXZpGC1m2WaMBam,0x7e1865606cd3182952d009d16898551c0f4af80d,"LostEverythingAgain",LostEverythingAgain,,,109,7716.858288588848,market_maker,pro
61urmYCKco3dTAcp4dhgbmY6ZXyAdUB9X3FintHFc3Sr,0x814a2feec3777704aafe63a0d3795e4d0e92d425,"hotlneblng",hotlneblng,hotlneblng,,9397,7685.0694404722635,market_maker,pro
Hd2tKEFF2RRMAufr9paDQdqrryMRJpKkapHTobz7CRZQ,0x975d9d0b3a0f92ea67f04545de78bdb39ee9c8dc,"Ethan Prosper",pr6spr,pr6spr,,210,7514.884853538255,smart_money,pro
L1ZbujFMUoWLnA6zLzsRy2gdaNw4JEZMda4epGBBBVt,0x723a9b04073cf5e78edc1bf982a3e257cab7b406,"wrld",wrld_sol,wrld_sol,,33217,7294.548770084835,kol,pro
3QGeGcN3atNeBehp9TWKDPvvroNrK6uQZieSPa4qPfqQ,0x4947c654b6fc7458827d362e7075ae03cce68b97,"Sneaky",0xsneakky,0xsneakky,,6941,7139.8580636630795,market_maker,pro
Bw6cKwtBAMzQwu2rcgfBtVopkvMs6uftxA1RZwEqx8en,0x96a24355534350fe0c32d3007b9774997429e59b,"Qtags (up/only)",qtags3,qtags3,,92,6931.296365122054,smart_money,pro
7yFfK5PCorQqbCAHrvdshYBFCe3nuuSot3SjtoycN5sW,0x63b193f41f176f9e22838600bda129dae54aeb90,"everythingempty",everythingempt0,everythingempt0,,11046,6891.736865139961,kol,pro
EKYGqLpsUXBmocGjh4EFXFYwNXSm6bi43gD9unqqyTr9,0xa55e9cb1e527479860920a618f44baaeb232a60a,"Mickey Mouse",mickeymouse,mickeymouse,,3094,6891.38410766665,smart_money,pro
2MvXHZZP4LehvuTYxzBHogQsJXhNrdAvZaoKK8FrkFdP,0xd05606fe32ceef693c1a7dee35151ee80498347e,"snotty",snotty,snotty,,201,6704.4108778012505,smart_money,pro
GJcMxxQf27cYv2KLA26H6VTZdPfrneZ2HmvCdvMxxZfi,0x6e160b74952ac0ab63167ff2fd665a08409339fb,"fibs",fibs,fibs,,1964,6623.243599430468,smart_money,pro
BSM7obo97xfVUPSPEuU6kURoPvTYUNVspQSKJm5jpPUq,0xf6cf3ea770bfbdce8f22a047e8fb06c9c81e8ecb,"jg",jotagezin,jotagezin,,37342,6548.433188149847,kol,pro
FiWny9shGU4FYasPVHu1uMVc5Z6VRMKvJzpP6CqucYBM,0x21eb49537dc987691d438450225cd15fd153b831,"0xLyuu",0xlyuu,0xlyuu,,722,6538.8432692524,smart_money,pro
FJhXFik8Kfno3EgYPoWgGniTth9xkJGPWTZGr4ExoG2P,0xbd26897dbfaeae67742e5e9766b504e00f463fbd,"juicy",Juicycooks,Juicycooks,,150,6458.733210954401,smart_money,pro
9h3kg9qML1XmXKYgVGWD7ESkbwKM3r7HLGTgALTDmVkx,0x4f17376f236caa50e97c35440cb80011a9d61b61,"‎ ‎",horror,horror,,1290,6443.9603008287,market_maker,pro
H6HHjbAgasPi3vEFBSmFbX6Qjp1F4JdCykq85SzPL3Sc,0x9ce3d0366cf67521281adb12fef735e46c17fbb7,"snake",selfeatingsnake,selfeatingsnake,,23,6297.933639839426,smart_money,pro
6iL9r5aFGC8vB2sTsWFCo9nn1oq2VucQUz5yzdA2tLrh,0x8524b5799efac57ea102b3130eeae6841fb10495,"WeakToxicGorilla",WeakToxicGorilla,,,49,6293.711288349239,smart_money,pro
Hn3C8G91CjGHnwtaaaa3qeRCESBo6paSwCGwPBbeEYpi,0x2a8f3a58735e01a0f42aaa9c52fe5f73d32b60e2,"fomouser123",fomouser123,fomouser123,,5577,6234.618676749309,smart_money,pro
DATMkmVrFbZt7isGoxyDSpAuF9vJycpkDKwhbf978eUw,0x490b0e93fe28989e70cddbcbfcc635d383baf322,"game",game_for_one,game_for_one,,8678,6145.098672501455,smart_money,pro
At5aHW5EAybnmxFdMysJSZcagYGzwDxKebzAjvMeko8L,0x22559869fda23332beea964ce150c79fbb1e052b,"tommy 🌙",tommy,tommy,,3148,5940.885458792236,smart_money,pro
96WCAYp7APxva3zaH4VtCDDKNaoMucM9LKhWAhS4d7rC,0x20188bd5385a6c6b986acf554475dccbc2be648b,"SleepyCat",SleepyCat,SleepyCat,,604,5347.794421195408,smart_money,pro
CqKkAfaWHuMnszqBLcpN64VoifsEYQFFjjhj2PHnaG7d,0x555c403d529fc25cc3e80281a364049a7a2249f2,"Thokani 🕊️",Thokani,Thokani,,12494,4844.8593237358855,kol,rising
4adD9hwgveKsfM4zHgLkEBbuPHAZetJDoigzZ6XSi8tk,0xf40bbf6ad7a5a8c20a705dc7b63301056f9fa463,"pablo",pxblocito,pxblocito,,1083,4387.719953967426,smart_money,rising
H7D7jLCqa6k3EmDqkS1M7UUyzGM9nwJGo2TTUWBZVQfu,0x5483230ed2e921d7816851b4749443a47648d659,"Daumen",daumenxyz,daumenxyz,,9939,4341.006844521609,smart_money,rising
4DGo7rTAV9MixZDLtJPeULMkHZVUYpSghRcdobNU2rLu,0x3346142da2d77f9a90210d5fe459980e84633d85,"Pinky",PinkyndTheGainz,PinkyndTheGainz,,574,4084.564279285696,smart_money,rising
4ZxnqpPr5a7F8ASeTx4ihNn2FvbtwUSuWWGsrySG7Lci,0xad5910ddf270d7d3d57be625ef9ba5db4fe3c8bf,"Ser Dalton",serdalton,serdalton,,1084,2741.5116439146464,market_maker,rising
ASaRVgaNupv2wFkVi9Zid3VGkyo3tAiNVMmCYHgWKWFe,0x1a852946c2bd69b93e255beab36bafe7f3424caf,"Ily",Ilyy,Ilyy,,22742,2736.6418935691363,kol,rising
5Puju13LqtDJdyqAW9KaRgUtUKfxddUki9ZZZ8c5DuBT,0xd4a5f00d2bd99ac2e66198ed72bdd49e23855cc4,"Parzival🗝 🧪",parzivalsong3,parzivalsong3,,137,2714.586445054467,smart_money,rising
FxV9pY6YQ4Hx2vgpnV43Dd8rC3n5raPNTBsS1DU2tamA,0x033863892f493de97a6bd4265ce491fb4de26b65,"wuzie",crypt0wu,crypt0wu,,1365,2675.4159296439016,smart_money,rising
EEgVeXPRqfbnjVfEYHrkTTk8WK4J3Q3NScdsLXUpFXJp,0xaa783f38b51949223c6a0c75de35605148e61127,"The Milk Man",milkman_phd,milkman_phd,,519,2461.773462844105,smart_money,rising
4WhFtDKcJGLoLAYbQm7iByw5h2sNQTTZF99v4y21T28L,0xd08e06a9bedaf3058aec2df174326c1f36ddf62b,"remus (rtrd/acc)",remusofmars,remusofmars,,102774,2449.0056718918513,kol,rising
2dMT48yJbHXNKH9DXsEkED1eiKiQ3U4y7XTUW5AqCAzZ,0xa4dd83930744069d0d523748671fa5c1297ff74e,"opus",opusmagnum,opusmagnum,,200,2372.022018214983,smart_money,rising
6PH7KwBsMC9Aq9um5YrQPA4hx34opEA4iLTeMGq543VL,0x6a4a72a16581953307d667b9a62a354b2f3ff592,"31337",31337___,31337___,,2513,2286.262650242649,market_maker,rising
7rpkCAMyNnpGxsbRKszqawgPDe8eRwho9jgfzMZfsfEK,0xced58c43f23c4a1ca6896069bd83bc1a24d97c10,"Eric Cryptoman",EricCryptoman,EricCryptoman,,1554,2253.2783639974414,smart_money,rising
9zs942iBjzqBwXKB9HAXen6vUHiFSRSY3GFkq1AHDZf1,0xa75035912ebbded828a1d42d98fc1942f0b4be85,"Chairman ²",Chairman_DN,Chairman_DN,,235,2160.3617677128022,smart_money,rising
3YECsvhnPBRJtWcPZgTQkczufpXdcAuHgZEDmH8vyRyS,0x8bd37ef6930d561a70edde42751083ddee3e8f47,"Collectible",collectible,collectible,,32939,2145.1458358326095,kol,rising
9nAFNsZFvEcfCTNatv115evkoGvkj8LRrbUbLf5oWfbH,0xa8d0e9760b7a07a22f194dd73efb30a2d6d8335b,"ʎppɐꓷ ɯooɹɥS",shroom_daddy,shroom_daddy,,8025,2143.37087430019,smart_money,rising
2d6ZG5JfC38HPcSbiQokGpUhP2Ydkc4ii1GGWnzHZuVW,0x9cbd25d530cfd02e1f8afbb723dcfd5820d71c27,"concerned salmon",concernedsalmon,concernedsalmon,,759,2063.0340050559753,smart_money,rising
828Hv4mn8WWhMk5Nx45Q1QjDZZdwAdBXxnEEuV3GCX8z,0x9982a8db1997bd9e22426b198660b3e5dd897434,"Jrake",Feanor_crypt,Feanor_crypt,,2713,1951.0627080126928,smart_money,rising
5SwvRJhADZLE6Lq27iusGkay7cbPqML6FaVjNXrMpaFe,0xc09dfaa8a71c981398e15b566a2d0b6c9607ce75,"Sam",SamFlintstone,SamFlintstone,,2916,1861.713059598449,market_maker,rising
CRg13PxuiKNhY21xwjytaVAb4a6bcNPeEejZVBj9t2xD,0xe6c51d194c472b6790721ef97ed28f6991529ef1,"qrazhan",qrazhan_ultd,qrazhan_ultd,,15729,1742.1723710630888,kol,rising
9mDLELkF2j8Cq6igEaCLEFE31zTkMgryUQ9AE2vLXxuR,0x1e3290bee8ac3e0b613769977b2dd6d1ae469eaa,"poopinurmouf",Poopinurmouf,Poopinurmouf,,71,1680.587799862582,smart_money,rising
3YWNkiinccrTjr1Lvtd1QXcGzaPXVYoQFsb5u4Td5yd3,0xf2b32657ef33324f8115cde003b0023979aa5b36,"guided",guided,guided,,2695,1665.7583165201904,smart_money,rising
ADd61XVZ3rKQcwsi3y8tiTi43U5SX5sgLSu6Tqvog2SK,0x776b044187398ab127a0841315c78187710cbf78,"markhor",wetmarkhor,wetmarkhor,,263,1628.6649365740504,smart_money,rising
2Kj9rdrLkU44neC3CwXuBfN1oz4VycZEDuwnD8fZAU4v,0xf62e2e6e44c8f9e3bb04f28b8f2e01d9d6bdd6b0,"lil bro",lilbro,lilbro,,1006,1602.3348864018465,market_maker,rising
62vCtgsCqcY1anZ1cAq4XBq11pFfDHhGp4oSB49SrtJU,0xf6b721f53b0d5b405a9a7643b790787dc7a4c380,"chimpfone",chimpfone,chimpfone,,1543,1584.597656464981,smart_money,rising
BK1TkWUhHjf8wsMKqYyL22PtmjoYZ68DrTmbnnf8Wuc3,0x7a4ef4981cbd206b874a6c052c9ee47d490675d0,"777",Goyimpnl,Goyimpnl,,3614,1500.876003116419,smart_money,rising
Em5EMwoUuYo7M7CGNQiux8qmmuJmMc4RvHxMT6Jfh4BN,0x61413fff8b180e151d5e5cbd9c2d742a38e968f6,"26",t26x,t26x,,629,1484.8936389110622,smart_money,rising
6M2KkpFtUbjMvYYd42H6fp6Gr2boGgrSwmcBXRNr2cMC,0x07be4d1f490c69c1b749081242e176f37091ab8e,"c10",ShownUniform08,ShownUniform08,,645,1464.6956705200412,smart_money,rising
ATfj38mAdaNeS5cwAttHy4GdeKvZXjRsDmw6BT1ALHc4,0x733237a9a42074fd0c3d223b2492f097bd45b312,"Erron Black",KIDSKI,KIDSKI,,1158,1411.588585822236,market_maker,rising
5Zibg8Q5aDiNxxZ8UKgm2tyz6Pr6Q4qqiw1cg7UvqFpj,0xba9bd03b74ac5bd5088aeeed459b74e477a5ee36,"Foreskin",Foreskinnnnn,Foreskinnnnn,,4930,1226.4481657625902,smart_money,rising
4GE5kurtt8pEBbytLFUaaED2c9WvGLK6nQVnHfTJ2RFY,0xd294ad1db772f270d4a1d1afd3ea83bb90617074,"Onchainrobber",Onchainrobber,Onchainrobber,,9088,1223.384706521425,market_maker,rising
BMmrwW3NZ8k3vmiH1TMooEDP3swC9qdKC8bnn96FEK7t,0xdda28f7941827d1852d2d98295c5206d712f84eb,"Fullportonly",fullportonly,fullportonly,,2632,1201.5500257821996,market_maker,rising
DbjkRyCbDUpAELXy9uHy6ajpsCaA6yN25CHmG4Zwzc6x,0x1a850cd5aa8a33950a4932c6ec4e22d2f624a9c7,"reflexive",reflexive,reflexive,,60,1131.2572332776963,smart_money,rising
34dHUbWtVqEwUKCBXcLiNY3apQYexESEYVnHm8S3uVpF,0x8314ecfeb6f64f90609791aa05c6bc0e687ccfb1,"Stablecoin Sean",seanlippel,seanlippel,,3226,1066.4734621888201,market_maker,rising
9H2Kpxfx3HxrB41bjEuvSDqxqftsDzYrAfgntnk2iPGT,0x0a045d18791b7157d6a1bd92becff09576198ab6,"Kale",kalexbt,kalexbt,,745,1001.8531967166455,smart_money,rising
ELXarhHXtFydYLJ3cZ3NbEFRsP85TSfkW9YXhQtWnWgc,0xd207da580aaf9389596971c4a56efdb8e1695c19,"DeeZe ⛳🏌️‍♂️",DeeZe,DeeZe,,846,998.4072702285312,smart_money,rising
8QmE9tvK8jaB1E2azGHySv8wACpnPMSuLd6jVTKAuMve,0x00755f8e7b682756913465edb48ea864a2f25697,"𝕊hill_Pill",Shill_Pill,Shill_Pill,,245,951.9981441398786,smart_money,rising
EZQJZDT6rTSxUQkoWPC3rpyTM4u3s9hdfSCZHcaL67f9,0xc5d66c8f4494707b41408829658d09e5358a1356,"PRINT",printgod,printgod,,7969,946.1826774280694,smart_money,rising
Bj6u3bLyd7CciYev1SkBtDdsjz8p7knjNxByFAH8MyfY,0x7df47c2e16056cd7a9dfd83a3951b69a607e73b8,"Qwerty",Quanterty,Quanterty,,2459,931.5267262209236,smart_money,rising
DDQfNzVrUXNNVhe5U2xBtn3Yysofda7eWpV4gwy6FQCG,0xd7d024e65254b08f254164ef796b75313a75097f,"city",gnocity_,gnocity_,gnocityy,1038,924.9125314833454,market_maker,rising
EuvRUDhJRJHA4FkRdJ6is4Y2mToHNfWS8UQAYAq5SKTw,0xb1a60a9a594887c234910f7e77ff02078e76d32e,"Colby",Colby,Colby,,6101,878.9803387553839,smart_money,rising
EUmcT92EwzPTg5UaCutFBy9xZ1QuRfcKoKHDUMyBjnFN,0xf2be72aa71e64aedaf938803d6c5278aa4d3b936,"vydamo",vydamo_,vydamo_,,1034,807.6223874540215,smart_money,rising
G7v7BjBweMQd5u7rx4ebfspP39sRDwHF7toqqRL3Mswf,0x07adc77f01490433844ec197edb682e4e9485599,"NickTesla",NickTesla16,NickTesla16,,5332,703.0801520451978,market_maker,rising
GqFVVVZpnfWadMLjHiicar6YNT6hFMqz8JwprhGFVCQX,0x74ac29b314eb8d3b81b5e6e87e4cc0ce12e51fd2,"lyxe",cryptolyxe,cryptolyxe,,551,689.6812910842018,smart_money,rising
EsrfQF8N4i4CnkFM6AfbRibnuKXiD8YFHBQYPpiCL7wq,0xcc826eac2ec17679224f722240acf939db6e95cc,"shadow",_shadow,_shadow,,7,670.3554040872659,smart_money,rising
EZLDo5qXLx1udEg9MMc5Ycu2q96yvGxeutG4fyfaeVA3,0xbd871d1b44a30de21693b5a4361f875c348f5f4b,"Donnie",Donatello,Donatello,,22,659.8027241866289,smart_money,rising
CQS9RZZvrBLC5uX5NhxwYEu7wvLtBpojvHbDgGFDu4bY,0xe60fd4dc1c5fd0e07f2f10c483c6f728fd6f8b86,"Squid",airtightfish,airtightfish,,4787,657.3424500273914,smart_money,rising
5o5NyEwufNkZnJinMrBm1bQ9iQZCgTqH1cyNSM9bqMrJ,0x39d3e1a804248dc852686dfe51cbdd987099faab,"memeINC",memeINC,memeINC,,4690,655.1924259404768,smart_money,rising
Gk8ifqmVURK5hCL84rsBLG3grvyMztVbCjH44Ch8juR1,0xd1a5863488f6bad2dc69357439362c629478faeb,"restart",restart,restart,,40,651.6596599490276,smart_money,rising
8FUKVdvDk2e17orWgZRSR43fXijaJLHEvNZ5k7Wo6f24,0x47387aff8f40ce89b0bca620e154f958e8bb1c44,"Alpinestar",alpinestar17,alpinestar17,,1254,641.7546769894021,smart_money,rising
6X8v159KA5Xgpjd2EAfZRhzwrkyfPyzoRRkEjobixB47,0x2014cb58d576613318da51347245c8054867db20,"chorles",charles,charles,,3098,534.9041280750771,smart_money,rising
5d1vgmN5JeEH1Zb4h7c34BSPowofpxsJ4bdYcgMXPWQf,0x98c15ced99eee17c092eb7df26a283cf0e3efc02,"seeyousoon888",permitoring,permitoring,,20,427.7799762370658,smart_money,rising
FHc8rtZd8AuEzD7MNKfvYZFLTjoQQnzU7JfBTYitfoVz,0x9b141e6cf40c0d469a45f6ed49ac73d1043b8d3d,"ZuperArab",ZuperArab,ZuperArab,,188,405.76778909954993,smart_money,rising
5UwpMsfgUmrCYyxApa5wj9UXDrjt6bwDKCCP828D8t6d,0x71ff21cea0575a2c1f3b93114df0ef9bd2e304eb,"staticc",staticctrades,staticctrades,,4664,367.29867295296026,smart_money,rising
2zSiQtKWVufUaPBYQUnTGbC6M8fjEdnoR2ZyXmDu3AUK,0xea5e01dc82d4cd39793a0effade467673c1e304b,"Ash Egan",Ashegan,Ashegan,,1006,362.16363562503125,smart_money,rising
75Fv7iAZ5TDTxy9b8r1oPyx7dDmYpWpWSJV1KJ6psA1p,0x3f9b650ab01aacce732fda869343a50388343574,"eq",404flipped,404flipped,,542,330.2117791759556,smart_money,rising
84SuZTXD3PNUuehdkq1mXcNAKxLbCMTrXXnfQhKKWrWh,0x7f95b4daec36212bce7ad1fa5529854717f91a71,"Rice",Ricecooker38,Ricecooker38,,349,327.9069887846563,smart_money,rising
6zYtQV6K21egQUaUaAwsL4d5YS7vPNHF1r64WGBMMSTu,0xb3fb1ac7984e209e75f50a813849e12e8d9f4ec3,"gynn",gynn10,gynn10,,210,314.7863602268893,smart_money,rising
AMatdL6K4b6fhvBMZmyeZBKX9JJdC8uVZ5ohG44Z9ggm,0x8304a6c4f0c5cdd538b879cdedae36d01bd19011,"IC",seriousgoofy,seriousgoofy,ICsTUNNEl,416,310.11154630353064,smart_money,rising
9xE7DtgMKfxZkCWNScdZ9RWudcsZpBDh7stp9f9z3Cgc,0xbd82c9ce7048fc809cad06d371872239329f9ac7,"💫💫💫💫💫💫💫💫💫",0xDEVSOLD,0xDEVSOLD,,33,302.03204266644605,smart_money,rising
A3v7dZiJbfTiJ7XVhiRkDLymV28aNJ8LtX4ZhNox61Jz,0xf62ec8e909b52bf6bbf875384bf2378bec4703b8,"miniminnie",Blitzrun,Blitzrun,,271,233.51118516513543,market_maker,rising
DDNyjDREyDF7LVF5AbaTpdNAE8JtMEjgvAmoxVJSB6Wd,0xa5fdccc16ba721596bdd2270f5839a1f16d4f672,"mag",0xmagazine1,0xmagazine1,,98,200.832138212656,smart_money,rising
9b2eiyg5wWJJ9CTW32ThWfqSFR266vHvPxQr4yCPFsBt,0x02180b1a38881d5ec44a50683e90e2e4e4ccbe0d,"Mrpunk.eth",mrpunkdoteth,mrpunkdoteth,,1407,187.27785359611426,smart_money,rising
6tawbYM6bS5Xw9mhy6QEBAjHEyaszPycMC6W4aQ838Pg,0xc6f7a5ad1a621d2ed4bac8224b090b6e7ac265da,"Malky",MidwestMalky,MidwestMalky,,10742,177.75300080509578,kol,rising
2mSYst3jonZoKwhvYzKTGWJrNKstSpLqu9q56qA8FKcp,0xec485bb1e2c455e4fc2a5336ebab2ea6364aff38,"waste management",waste,waste,,318,159.01850139746966,smart_money,rising
7AY1paSDAwdUjo2vQGz5mU6LQuy2ESYJ1s46qJrLkrZr,0xf405676b9c0ff60dab6b7c751a4eb55cfddf209a,"cjuggz",cryptojuggler3,cryptojuggler3,,1321,147.95884922799678,smart_money,rising
5n4hR6xPvvoSEFULQ6ccnoRNike5VcrmuEvoSY97Tomc,0x2017a181b2b7874b6c33206aa46e93400d3f7a8e,"bush",bushie,bushie,,94,138.46917520868828,smart_money,rising
DD66eG7hdU7HU5vnxk3L72srhFCGDWwQXjaMEEhQnyK1,0xdd91f6e182f01be9231e12c8be7926df5f22f53a,"Paul",paul,paul,,12998,136.33337673737697,kol,rising
83jdm9Le3vRuoetwftPbEyh9Xj5Ndg7ueCBigCCzsym9,0x52eff1dadaac9621653629cb743d9958fde48b01,"Cited",cited,cited,,809,120.21288950871207,smart_money,rising
7wA71fbdsLKKuk8asgVEUiCrnjrg4uPYx4zyjPUJJTmq,0xf9800b431931785ea807afdf69c72666a7731149,"moo",Miltank,Miltank,,18,118.31257658945826,smart_money,rising
48i4SBpUoqFkT4K34duw9Q8Nc3YL3KnxvQXt4TzqhAf3,0x896853808d0cb08e071290d7155b53913ec81695,"scott",choppeduncx,choppeduncx,,9692,117.92527519673877,smart_money,rising
2QA53oynGp5Xbz6VY8i24tUNwncdzq485TSRNhP6yNrm,0x60eaa2aed784b4e9b977dce75ba9258dee211fd8,"ones",ones,ones,,275,115.90929534188612,smart_money,rising
6ivmkyT5BfP9zTM8ExipSCwXLa9j3yNxCn9uj7JFe11m,0x0aed500a26d4e6c16aef87460c18dbbbf53c6f4e,"nfa",nonfinancialadv,nonfinancialadv,,129,106.93826399734313,smart_money,rising
